school,meal_type,food_item,recommended_quantity
aldrin elementary,Breakfast,Apple Juice(Each),61
aldrin elementary,Breakfast,Orange Tangerine Juice(Each),33
aldrin elementary,Breakfast,1% White Milk(Each),28
aldrin elementary,Breakfast,Mini Maple Pancakes(Package),28
aldrin elementary,Breakfast,Bagel(Bagel),13
aldrin elementary,Breakfast,Cream Cheese(Each),10
aldrin elementary,Breakfast,Honey Cheerios Cereal(Each),10
aldrin elementary,Breakfast,Red Delicious Apple(Each - serving),10
aldrin elementary,Breakfast,Cinnamon Chex Cereal(Each),9
aldrin elementary,Breakfast,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",9
aldrin elementary,Breakfast,Banana(Each),7
aldrin elementary,Breakfast,Blueberry Chex Cereal(Each),7
aldrin elementary,Breakfast,Fat Free White Milk(Each),7
aldrin elementary,Breakfast,String Cheese(1 Stick),7
aldrin elementary,Breakfast,Natural Breakfast Syrup(Each),5
aldrin elementary,Breakfast,Natural Grape Jam(Packet),4
aldrin elementary,Breakfast,"Batter, Pumpkin Bread(1oz Grain (1/64 Baked Pan))",3
aldrin elementary,Breakfast,Mandarin Orange Parfait(Parfait),3
aldrin elementary,Breakfast,Orange(6 Slices per 1/2 cup),3
aldrin elementary,Breakfast,Apple Cinnamon Bread(1oz Grain (1/64 Baked Pan)),2
aldrin elementary,Breakfast,Blueberry Bread(1 square),2
aldrin elementary,Breakfast,Chicken & Biscuit Sandwich(Sandwich),2
aldrin elementary,Breakfast,Chilled Peaches(1/2 cup (drained)),2
aldrin elementary,Breakfast,Egg and American Cheese on Bagel(Sandwich),2
aldrin elementary,Breakfast,Egg and American Cheese on Biscuit(Sandwich),2
aldrin elementary,Breakfast,Strawberry Parfait(Parfait),2
aldrin elementary,Breakfast,Turkey Sausage Breakfast Biscuit(Sandwich),2
aldrin elementary,Breakfast,1% Unflavored Shelf-Stable Milk(Each),1
aldrin elementary,Breakfast,Applesauce(1/2 Cup),1
aldrin elementary,Breakfast,Biscuit(Biscuit),1
aldrin elementary,Breakfast,Blueberry Bread(1oz Grain (1/64 Baked Pan)),1
aldrin elementary,Breakfast,Blueberry Muffin Top(Muffin Top),1
aldrin elementary,Breakfast,Chilled Mandarin Oranges(1/2 cup (drained)),1
aldrin elementary,Breakfast,Chilled Pineapple(1/2 cup),1
aldrin elementary,Breakfast,Golden Delicious Apple(Each),1
aldrin elementary,Breakfast,Orange Slices(3 slices per 1/4 cup),1
aldrin elementary,Breakfast,"Parfait, Triple Berry(Parfait)",1
aldrin elementary,Breakfast,"Sandwich, Breakfast. Bagel, Turkey Sausage(Sandwich)",1
aldrin elementary,Lunch,Fat Free Chocolate Milk(Each),129
aldrin elementary,Lunch,Lettuce Blend Salad Mix(1/2 cup),82
aldrin elementary,Lunch,Ketchup Packet(Packet),77
aldrin elementary,Lunch,Apple Slices(3 slices per 1/4 cup),46
aldrin elementary,Lunch,Ranch Dressing(1 ounce),46
aldrin elementary,Lunch,PB&J Power Pack(Power Packs),35
aldrin elementary,Lunch,Orange Slices(3 slices per 1/4 cup),34
aldrin elementary,Lunch,1% White Milk(Each),31
aldrin elementary,Lunch,Chicken Tenders(3 tenders),30
aldrin elementary,Lunch,Manager's Vegetable Choice(1/4 cup),29
aldrin elementary,Lunch,Banana(Each),28
aldrin elementary,Lunch,Orange(1/4 cup),25
aldrin elementary,Lunch,Cheese Pizza(Slice),24
aldrin elementary,Lunch,Red Seedless Grapes(16 grapes per 1/2 cup),24
aldrin elementary,Lunch,Mayonnaise Packet(Packet),23
aldrin elementary,Lunch,Red Delicious Apple(Each - serving),23
aldrin elementary,Lunch,Chocolate Chip Cookie(Cookie),21
aldrin elementary,Lunch,Red Seedless Grapes(8 grapes per 1/4 cup),21
aldrin elementary,Lunch,Baby Carrots(3 baby carrots per 1/4 cup),19
aldrin elementary,Lunch,Cucumber Slices(1/4 cup),16
aldrin elementary,Lunch,Italian Dressing(1 ounce),16
aldrin elementary,Lunch,Turkey Pepperoni Pizza(Slice),16
aldrin elementary,Lunch,Baked Cheese Sticks(2 Cheese Sticks),14
aldrin elementary,Lunch,Chilled Mandarin Oranges(1/2 cup (drained)),13
aldrin elementary,Lunch,Golden Delicious Apple(Each),12
aldrin elementary,Lunch,Broccoli Florets(1/4 cup),11
aldrin elementary,Lunch,Fat Free White Milk(Each),11
aldrin elementary,Lunch,Mustard Packet(Packet),11
aldrin elementary,Lunch,Spicy Breaded Chicken Patty on Bun(Sandwich),11
aldrin elementary,Lunch,Whole Wheat Dinner Roll(2 rolls),11
aldrin elementary,Lunch,Bottled Water(Bottle),9
aldrin elementary,Lunch,Cherry Tomatoes(1/4 cup),9
aldrin elementary,Lunch,Chickpeas(1/4 cup),9
aldrin elementary,Lunch,Chilled Mandarin Oranges(1/4 cup (drained)),9
aldrin elementary,Lunch,Cooked  Brown Rice(1/2 cup cooked),9
