name,served_reimbursable
Fat Free Chocolate Milk (Each),933324
Lettuce Blend Salad Mix (1/2 cup),592045
Ketchup Packet (Packet),562691
Ranch Dressing (1 ounce),330316
Apple Slices (3 slices per 1/4 cup),325674
PB&J Power Pack (Power Packs),262952
Orange Slices (3 slices per 1/4 cup),244208
Chicken Tenders (3 tenders),229071
1% White Milk (Each),220254
Manager's Vegetable Choice (1/4 cup),208994
Banana (Each),201953
Chocolate Chip Cookie (Cookie),198911
Orange (1/4 cup),184239
Cheese Pizza (Slice),180664
Red Seedless Grapes (16 grapes per 1/2 cup),174341
Mayonnaise Packet (Packet),170779
Red Delicious Apple (Each - serving),168735
Red Seedless Grapes (8 grapes per 1/4 cup),146792
Baby Carrots (3 baby carrots per 1/4 cup),133967
Italian Dressing (1 ounce),119546
Turkey Pepperoni Pizza (Slice),117698
Baked Cheese Sticks (2 Cheese Sticks),111439
Cucumber Slices (1/4 cup),110861
Chilled Mandarin Oranges (1/2 cup (drained)),95481
Golden Delicious Apple (Each),87454
Spicy Breaded Chicken Patty on Bun (Sandwich),85267
Fat Free White Milk (Each),82451
Whole Wheat Dinner Roll (2 rolls),81979
Bottled Water (Bottle),81689
Broccoli Florets (1/4 cup),81266
Mustard Packet (Packet),79833
Soft Pretzel (1 pretzel),73837
Chilled Mandarin Oranges (1/4 cup (drained)),68051
Chocolate Chip Cookie (1/2 Cookie),66944
Cooked  Brown Rice (1/2 cup cooked),66012
Cherry Tomatoes (1/4 cup),65383
Chickpeas (1/4 cup),65097
Strawberry Flavored Dried Cranberries (Each),61586
Marinara Sauce (1/2 cup),60681
Cherry Flavored Dried Cranberries (Each),60491
Watermelon Flavored Dried Cranberries (Each),58007
Cooked  Brown Rice (1 cup cooked),56591
Cheeseburger (Sandwich),54048
Potato Wedges (7 pieces),50905
Baby Carrots (6 Baby Carrots per 1/2 cup),48394
Chickenless Bites (4 Bites),48027
Corn (1/4 cup (thawed)),45492
Cheez-Its Crackers (Package),43490
"Apple Slices (3 slices, 1/4 cup)",42418
Doritos Wild White Nacho Flavored Tortilla Chips (Bag),41924
Nachos with Cheese Sauce (Serving),41771
Strawberry & Banana Yogurt Power Pack (Power Packs),41301
Blueberry Bread (1 square),37590
Whole Wheat Dinner Roll (Each),37461
Apple Juice (Each),36910
Nachos with Turkey Barbacoa and Cheese Sauce (Serving),35470
Gala Apple (Each),35384
Corn (1/2 cup (cooked)),35339
Grape Tomatoes (1/4 cup),34652
Asian Veggie Sub (sandwich),34261
Orange Chicken (4 Bites w/ 1oz sauce),31985
Beef Meatball Sub Sandwich (Sandwich),31389
Smartfood RF White Cheddar Popcorn (Each),31020
Celery Sticks (1/2 cup),30874
Orange Flavored Dried Cranberries (Each),28319
"Bread, Loco (flatbread)",28133
Chilled Peaches (1/2 cup (drained)),28003
Chilled Peaches (1/4 cup (drained)),27644
"Salsa, Mild Canned (1.5 oz)",27565
"Peppers, red, pre-sliced (1/2 cup sliced)",27560
Chickenless Bites (2 Bites),27291
Whole Strawberries (1/2 cup thawed),26532
"Bread, Loco (1/2 piece)",26400
Marinara Sauce (1/4 Cup),25845
Asian Meatball Sub (sandwich),25716
Black Beans (1/4 Cup),24789
Raspberry Lemonade Flavored Dried Cranberries (Each),24290
Roasted Plantains (6 Slices),24066
"Fruit Snacks, Welch's Mixed (Each)",24053
Peach Yogurt Power Pack (Power Packs),23848
Cherry Vanilla Yogurt Power Pack (Power Packs),23593
Apple Slices (6 Slices per 1/2 cup),23128
Cheese Quesadilla (Quesadilla),23091
"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",22636
Lettuce Blend Salad Mix (1 cup),22010
Grilled Cheese Sandwich (Sandwich),21846
Pasta with Meat Sauce (serving),21583
Spicy Chicken Wrap (Wrap),20677
Orange Tangerine Juice (Each),20614
Steamed Broccoli (1/2 cup),20070
Chicken Masala Drumstick (Drumstick),19870
Orange Sauce (ounce),19700
IW Applesauce Cup (Each),19417
Tex Mex Corn (1/2 cup),19318
"Penne Pasta with Marinara and Beef Meatballs (cup cooked pasta, 1/2c sauce, 5 meatballs)",19141
Bean and Cheese Pupusa (Pupusa),18999
Orange Slices (6 Slices per 1/2 cup),18919
Black Beans (1/2 Cup),18743
Graham Crackers (Package),18568
Alfredo & Basil Lasagna (Each),18545
Chicken & Vegetable Dumplings (6 dumplings),17636
"Cheese, Shredded, Cheddar (1/4 cup)",16783
Cucumber Slices (6 Slices per 1/2 cup),16626
Orange Chickenless Bites (4 bites),16120
Applesauce (1/2 Cup),15638
